"Entry","Expt","MacroEnv","DTF","Predicted_DTF"
96,"Su16","Macroenvironment 1",47,45.9883474100621
96,"Ne16","Macroenvironment 2",85.3333333333333,63.0239721248855
96,"It16","Macroenvironment 3",109,106.07580642159
97,"Su16","Macroenvironment 1",47.3333333333333,46.4273224540556
97,"Ne16","Macroenvironment 2",107.333333333333,87.0230088578355
97,"It16","Macroenvironment 3",135,142.764685880365
98,"Su16","Macroenvironment 1",49,46.2922085711633
98,"Ne16","Macroenvironment 2",114,90.9594125698661
98,"It16","Macroenvironment 3",123.333333333333,122.408764919138
99,"Su16","Macroenvironment 1",49.3333333333333,47.6747052019509
99,"Ne16","Macroenvironment 2",91.3333333333333,66.6342222847272
99,"It16","Macroenvironment 3",113.666666666667,109.031789072247
100,"Su16","Macroenvironment 1",51.3333333333333,49.9623549140269
100,"Ne16","Macroenvironment 2",127.5,93.5899124872197
100,"It16","Macroenvironment 3",134,143.395429255894
101,"Su16","Macroenvironment 1",47.6666666666667,46.0108302742818
101,"Ne16","Macroenvironment 2",129.333333333333,99.894503895448
101,"It16","Macroenvironment 3",123.333333333333,125.554482551949
102,"Su16","Macroenvironment 1",51,48.5741331571977
102,"Ne16","Macroenvironment 2",128.666666666667,97.0693500608369
102,"It16","Macroenvironment 3",127.666666666667,124.719250561136
103,"Su16","Macroenvironment 1",47.3333333333333,45.2988810608998
103,"Ne16","Macroenvironment 2",122,85.2857168103918
103,"It16","Macroenvironment 3",131.333333333333,142.985980918212
104,"Su16","Macroenvironment 1",49.3333333333333,47.3814409307119
104,"Ne16","Macroenvironment 2",91,67.8414144822721
104,"It16","Macroenvironment 3",113.666666666667,110.064329319674
105,"Su16","Macroenvironment 1",44,43.7478392921603
105,"Ne16","Macroenvironment 2",65,48.8335144637489
105,"It16","Macroenvironment 3",105,100.730676320684
106,"Su16","Macroenvironment 1",47,45.7437524580626
106,"Ne16","Macroenvironment 2",97.3333333333333,77.6649301393729
106,"It16","Macroenvironment 3",121,119.610742974348
107,"Su16","Macroenvironment 1",49.3333333333333,47.1565083019215
107,"Ne16","Macroenvironment 2",85,63.3588756475007
107,"It16","Macroenvironment 3",110.666666666667,109.148029538205
108,"Su16","Macroenvironment 1",49.3333333333333,47.7159030514215
108,"Ne16","Macroenvironment 2",128.666666666667,98.775766112883
108,"It16","Macroenvironment 3",128,127.42507937223
109,"Su16","Macroenvironment 1",46.3333333333333,45.3187701891108
109,"Ne16","Macroenvironment 2",119,91.5247490400591
109,"It16","Macroenvironment 3",120.666666666667,125.713551502377
110,"Su16","Macroenvironment 1",45,44.1529855491771
110,"Ne16","Macroenvironment 2",99,74.6890758281064
